"start","stop","MGgene"
106557,107474,"lpxC"
107705,108217,"secM"
108279,110984,"secA"
111044,111433,"mutT"
111649,111846,"yacG"
111856,112599,"zapD"
112599,113219,"coaE"
113444,114487,"guaC"
114522,115724,"hofC"
115714,117099,"hofB"
117109,117549,"ppdD"
117752,118645,"nadC"
118733,119284,"ampD"
119281,120135,"ampE"
120178,121551,"aroP"
122092,122856,"pdhR"
123017,125680,"aceE"
125695,127587,"aceF"
127912,129336,"lpd"
129407,131260,"yacH"
131615,134212,"acnB"
134388,134750,"yacL"
134788,135582,"speD"
135598,136464,"speE"
136570,136917,"yacC"
137083,138633,"cueO"
138835,141225,"gcd"
141431,141967,"hpt"
142008,142670,"can"
142779,143705,"yadG"
143702,144472,"yadH"
144577,145017,"yadI"
145081,146310,"yadE"
146314,146694,"panD"
146968,147870,"yadD"
147944,148795,"panC"
148807,149601,"panB"
149715,150953,"yadC"
151003,151599,"yadK"
151626,152231,"yadL"
152243,152812,"yadM"
152829,155426,"htrE"
155461,156201,"yadV"
156299,156883,"yadN"
157253,157732,"folK"
157729,159126,"pcnB"
159186,160112,"gluQ"
160149,160604,"dksA"
160782,161486,"sfsA"
161501,162031,"ligT"
162105,164534,"hrpB"
164730,167264,"mrcB"
167484,169727,"fhuA"
169778,170575,"fhuC"
170575,171465,"fhuD"
171462,173444,"fhuB"
173602,174882,"hemL"
175107,176528,"clcA"
176610,176954,"erpA"
177001,177624,"yadS"
177662,178462,"btuF"
178455,179153,"mtn"
179237,180754,"dgt"
180884,182308,"degP"
182463,183620,"cdaR"
183709,184095,"yaeH"
184257,185069,"yaeI"
185123,185947,"dapD"
185978,188650,"glnD"
188712,189506,"map"
189712,189847,"tff"
189874,190599,"rpsB"
190857,191708,"tsf"
191855,192580,"pyrH"
192872,193429,"frr"
193521,194717,"dxr"
194903,195664,"ispU"
195677,196534,"cdsA"
196546,197898,"rseP"
197928,200360,"bamA"
200482,200967,"skp"
200971,201996,"lpxD"
202101,202556,"fabZ"
202560,203348,"lpxA"
203348,204496,"lpxB"
204493,205089,"rnhB"
205126,208608,"dnaE"
208621,209580,"accA"
209679,211820,"ldcC"
211877,212266,"yaeR"
212331,213629,"tilS"
213678,213932,"rof"
213925,214125,"yaeP"
214291,214836,"yaeQ"
214833,215255,"arfB"
215269,215979,"nlpE"
216179,217003,"yaeF"
217057,218775,"proS"
218887,219594,"tsaA"
219591,219995,"rcsF"
220113,220928,"metQ"
220968,221621,"metI"
221614,222645,"metN"
222833,223408,"gmhB"
223771,225312,"rrsH"
225381,225457,"ileV"
225500,225575,"alaV"
225759,228662,"rrlH"
228756,228875,"rrfH"
228928,229004,"aspU"
229167,229970,"dkgB"
229967,230881,"yafC"
231122,231922,"yafD"
231926,232549,"yafE"
232597,233955,"mltD"
234027,234782,"gloB"
234816,235538,"yafS"
235535,236002,"rnhA"
236067,236798,"dnaQ"
236931,237007,"aspV"
237335,238120,"yafT"
238257,238736,"ykfM"
238746,239102,"yafU"
239106,239378,"yafF"
239419,240189,"yafV"
240343,240816,"ivy"
240859,243303,"fadE"
243543,244121,"gmhA"
244327,245094,"yafJ"
245065,245805,"yafK"
245961,246239,"yafQ"
246242,246502,"dinJ"
246712,247461,"yafL"
247637,248134,"rayT"
248358,250070,"lfhA"
250072,250827,"lafU"
250898,251953,"dinB"
252005,252298,"yafN"
252301,252699,"yafO"
252709,253161,"yafP"
253479,253685,"ykfJ"
253702,254202,"prfH"
254259,255716,"pepD"
255977,256435,"gpt"
256527,257771,"frsA"
257829,259006,"crl"
259045,260100,"phoE"
260388,261491,"proB"
261503,262756,"proA"
262871,262946,"thrW"
263150,263212,"ykfN"
263328,263669,"ykfI"
263690,264007,"yafW"
264026,264247,"ykfH"
264256,264732,"ykfG"
264748,265206,"yafX"
265304,265543,"ykfF"
265620,266087,"ykfB"
266110,266553,"yafY"
266553,266774,"ykfL"
266776,266967,"ykfK"
267184,268005,"yafZ"
268097,268960,"ykfA"
269289,270182,"perR"
270278,272189,"insN"
270603,271754,"insI1"
272580,272654,"eyeA"
272847,273954,"ykfC"
274101,275117,"insH1"
275325,276728,"mmuP"
276715,277647,"mmuM"
277756,278802,"afuC"
278814,279161,"afuB"
280114,280362,"insX"
280427,280735,"yagB"
280829,281983,"yagA"
282278,283186,"yagE"
283201,285168,"yagF"
285395,286777,"yagG"
286789,288399,"yagH"
288404,289162,"yagI"
289301,290305,"argF"
290429,290633,"ykgS"
291404,292231,"yagJ"
292322,292948,"yagK"
293220,293918,"yagL"
293945,294799,"yagM"
295139,295579,"yagN"
295696,297096,"intF"
297206,297254,"ptwF"
297381,297719,"yagP"
297714,297791,"ykgT"
297770,298726,"paoD"
298736,300934,"paoC"
300931,301887,"paoB"
301884,302573,"paoA"
302991,303605,"yagU"
303853,304182,"ykgJ"
304495,305205,"ecpE"
305174,306817,"ecpD"
306807,309332,"ecpC"
309358,310026,"ecpB"
310084,310671,"ecpA"
310746,311336,"ecpR"
312112,312339,"ykgL"
312374,312514,"ykgO"
312514,312777,"ykgM"
313141,313242,"ykgR"
313716,313805,"ykgP"
314357,315228,"eaeH"
315291,315590,"insE1"
315587,316453,"insF1"
316486,317169,"ykgA"
317439,317567,"ykgQ"
317726,318319,"rclC"
318331,318567,"rclB"
318676,320001,"rclA"
320227,321081,"rclR"
321608,322327,"ykgE"
322338,323765,"ykgF"
323758,324453,"ykgG"
324696,325364,"ykgH"
325577,327247,"betA"
327261,328733,"betB"
328747,329334,"betI"
329463,331496,"betT"
332371,333459,"yahA"
333501,334433,"yahB"
334525,335022,"yahC"
335280,335885,"yahD"
335925,336788,"yahE"
336778,338325,"yahF"
338325,339743,"yahG"
340165,341115,"yahI"
341125,342507,"yahJ"
342884,343933,"yahK"
344176,344991,"yahL"
345404,345649,"yahM"
345666,346337,"yahN"
346484,346759,"yahO"
346857,348443,"prpR"
348682,349572,"prpB"
350012,351181,"prpC"
351215,352666,"prpD"
352706,354592,"prpE"
354922,356181,"codB"
356171,357454,"codA"
357791,358690,"cynR"
358799,359458,"cynT"
359489,359959,"cynS"
359992,361146,"cynX"
361249,361860,"lacA"
361926,363179,"lacY"
363231,366305,"lacZ"
366428,367510,"lacI"
367587,368420,"mhpR"
368611,370275,"mhpA"
370277,371221,"mhpB"
371239,372105,"mhpC"
372115,372924,"mhpD"
372921,373871,"mhpF"
373868,374881,"mhpE"
375459,376670,"mhpT"
376772,377311,"yaiL"
377535,378368,"frmB"
378462,379571,"frmA"
379606,379881,"frmR"
380069,380842,"yaiO"
380844,382872,"yaiX"
381351,381716,"insC1"
381674,382579,"insD1"
382739,383935,"yaiP"
384059,384616,"yaiS"
385232,386194,"tauA"
386207,386974,"tauB"
386971,387798,"tauC"
387795,388646,"tauD"
388753,389727,"hemB"
390251,394418,"yaiT"
394506,395129,"yaiV"
395130,396287,"ampH"
396639,397859,"sbmA"
397872,398966,"yaiW"
399025,399333,"yaiY"
399593,399805,"yaiZ"
399829,400923,"ddlA"
401386,401646,"iraP"
401747,403162,"phoA"
403281,403601,"psiF"
403703,404818,"yaiC"
404835,405644,"proC"
405764,406222,"yaiI"
406405,406929,"aroL"
406979,407170,"yaiA"
407428,408105,"aroM"
408177,408461,"yaiE"
408609,408950,"ykiA"
409108,410019,"rdgC"
410144,411052,"mak"
411297,412481,"araJ"
412607,415753,"sbcC"
415750,416952,"sbcD"
417142,417831,"phoB"
417889,419184,"phoR"
419591,420910,"brnQ"
420986,422359,"proY"
422518,424332,"malZ"
424337,424918,"acpH"
425011,426081,"queA"
426137,427264,"tgt"
427287,427619,"yajC"
427647,429494,"secD"
429505,430476,"secF"
430605,430952,"yajD"
431129,432013,"tsx"
432312,432851,"yajI"
433002,433451,"nrdR"
433455,434558,"ribD"
434647,435117,"ribE"
435137,435556,"nusB"
435634,436611,"thiL"
436589,437107,"pgpA"
437161,438135,"yajO"
438315,440177,"dxs"
440202,441101,"ispA"
441101,441343,"xseB"
441549,442997,"thiI"
443051,443641,"yajL"
443604,444515,"panE"
444683,445174,"yajQ"
445302,446666,"yajR"
446815,447705,"cyoE"
447717,448046,"cyoD"
448046,448660,"cyoC"
448650,450641,"cyoB"
450663,451610,"cyoA"
452070,453545,"ampG"
453589,454167,"yajG"
454472,454789,"bolA"
455133,456431,"tig"
456677,457300,"clpP"
457426,458700,"clpX"
458888,461242,"lon"
461451,461723,"hupB"
461915,463786,"ppiD"
463937,464308,"ybaV"
464402,464800,"fadM"
464852,465547,"queC"
465612,467312,"ybaE"
467412,468230,"cof"
468383,468841,"ybaO"
468871,470643,"mdlA"
470636,472417,"mdlB"
472598,472936,"glnK"
472966,474252,"amtB"
474301,475161,"tesB"
475379,475951,"ybaY"
475982,476371,"ybaZ"
476448,476561,"ffs"
476672,477025,"ybaA"
477067,478617,"ylaB"
478781,479251,"ylaC"
479367,479918,"maa"
480090,480308,"hha"
480334,480708,"tomB"
481254,484403,"acrB"
484426,485619,"acrA"
485761,486408,"acrR"
486536,489898,"mscK"
490110,490271,"ybaM"
490285,490812,"priC"
490882,491259,"ybaN"
491412,491963,"apt"
492092,494023,"dnaX"
494076,494405,"ybaB"
494405,495010,"recR"
495120,496994,"htpG"
497175,497819,"adk"
498055,499017,"hemH"
499014,499973,"aes"
500125,501429,"gsk"
501562,503238,"ybaL"
503476,504696,"fsr"
504914,506566,"ushA"
506603,507082,"ybaK"
507204,507287,"chiX"
507286,508080,"ybaP"
508218,508559,"ybaQ"
508875,511379,"copA"
511641,512573,"glsA"
512576,513868,"ybaT"
513993,514400,"cueR"
514401,514859,"ybbJ"
514856,515773,"qmcA"
515919,516596,"fetA"
516583,517362,"fetB"
517425,518279,"ybbN"
518340,519149,"ybbO"
519139,519765,"tesA"
519733,520419,"ybbA"
520416,522830,"ybbP"
523261,527541,"rhsD"
527581,527949,"ybbC"
527952,528659,"rhsH"
528640,529130,"ybbD"
529500,529592,"ylbI"
529595,530016,"ylbG"
530132,531226,"mnmH"
531295,532221,"allS"
532451,532933,"allA"
533011,533826,"allR"
533916,535697,"gcl"
535710,536486,"hyi"
536586,537464,"glxR"
537633,539087,"ybbW"
539147,540508,"allB"
540565,541866,"ybbY"
541888,543033,"glxK"
543261,544046,"allE"
544057,545292,"allC"
545314,546363,"allD"
546680,548347,"fdrA"
548357,549616,"ylbE"
549627,550442,"ylbF"
550439,551332,"ybcF"
551527,552594,"purK"
552591,553100,"purE"
553218,553940,"lpxH"
553943,554437,"ppiB"
554611,555996,"cysS"
556032,556553,"ybcI"
556661,556873,"ybcJ"
556875,557741,"folD"
558212,558754,"sfmA"
558974,559666,"sfmC"
559697,562300,"sfmD"
562336,563319,"sfmH"
563330,563845,"sfmF"
563848,564480,"sfmZ"
564723,564799,"argU"
564815,565978,"intD"
565858,566079,"xisD"
566098,566376,"exoD"
566376,566687,"peaD"
566684,568247,"renD"
568315,568647,"emrE"
568902,570428,"ybcK"
570893,571444,"ybcL"
571454,572251,"ybcM"
572368,572469,"ylcH"
572466,572921,"ybcN"
572921,573091,"ninE"
573084,573374,"ybcO"
573371,573733,"rusA"
573730,573870,"ylcG"
573956,574339,"quuD"
574529,576825,"nmpC"
577398,577613,"essD"
577613,578110,"rrrD"
578107,578568,"rzpD"
578327,578509,"rzoD"
578600,578893,"borD"
579184,579594,"ybcV"
579880,580086,"ybcW"
580251,580445,"ylcI"
580834,581379,"nohD"
581354,581662,"aaaD"
581660,582097,"tfaD"
582152,582806,"ybcY"
582953,583135,"tfaX"
583681,584430,"appY"
584680,585633,"ompT"
586057,586101,"pauD"
586147,586908,"envY"
587091,587981,"ybcH"
587982,590954,"nfrA"
590941,593178,"nfrB"
593328,594770,"cusS"
594760,595443,"cusR"
595600,596973,"cusC"
597131,597463,"cusF"
597479,598702,"cusB"
598714,601857,"cusA"
601959,603335,"pheP"
603416,604663,"ybdG"
604771,605424,"nfsB"
605518,605886,"ybdF"
605951,606199,"ybdJ"
606265,607383,"ybdK"
607734,607792,"sokE"
607836,607988,"hokE"
609459,610079,"entD"
610254,612494,"fepA"
612737,613939,"fes"
613942,614160,"ybdZ"
614157,618038,"entF"
618254,619387,"fepE"
619384,620199,"fepC"
620196,621188,"fepG"
621185,622189,"fepD"
622300,623550,"entS"
623554,624510,"fepB"
624885,626060,"entC"
626070,627680,"entE"
627694,628551,"entB"
628551,629297,"entA"
629300,629713,"entH"
629894,631999,"cstA"
632182,632379,"ybdD"
632389,633477,"ybdH"
633586,634746,"ybdL"
634747,635376,"ybdM"
635349,636569,"ybdN"
636716,637618,"ybdO"
637827,638573,"dsbG"
638945,639508,"ahpC"
639753,641318,"ahpF"
641439,641867,"uspG"
642088,643326,"ybdR"
643557,643967,"rnk"
644197,645003,"rna"
645117,646580,"citT"
646631,647509,"citG"
647484,648035,"citX"
648039,649571,"citF"
649582,650490,"citE"
650487,650783,"citD"
650798,651856,"citC"
652235,653893,"citA"
653862,654542,"citB"
654583,655968,"dcuC"
656557,657117,"pagP"
657292,657501,"cspE"
657555,657938,"flc"
658031,658818,"ybeM"
658947,659150,"tatE"
659251,660216,"lipA"
660425,661378,"ybeF"
661637,662278,"lipB"
662379,662642,"ybeD"
662752,663963,"dacA"
664102,665190,"rlpA"
665201,666313,"mrdB"
666316,668217,"mrdA"
668248,668715,"rlmH"
668719,669036,"rsfS"
669296,669907,"cobC"
669931,670572,"nadD"
670574,671605,"holA"
671605,672186,"lptE"
672201,674783,"leuS"
675018,675500,"ybeL"
675570,676547,"ybeQ"
676711,677418,"ybeR"
677415,678842,"djlB"
678852,679406,"ybeT"
679508,680215,"ybeU"
680212,681663,"djlC"
681723,683393,"hscC"
683477,684412,"rihA"
684530,685255,"gltL"
685255,685929,"gltK"
685929,686669,"gltJ"
686839,687747,"gltI"
689343,690881,"lnt"
690906,691784,"ybeX"
691874,692341,"ybeY"
692338,693378,"ybeZ"
693531,694955,"miaB"
695101,696276,"ubiF"
696430,696504,"glnX"
696542,696616,"glnV"
696664,696740,"metU"
696756,696830,"glnW"
696865,696939,"glnU"
696963,697047,"leuW"
697057,697133,"metT"
697513,699177,"asnB"
699574,700326,"umpH"
700374,701594,"nagC"
701603,702751,"nagA"
702811,703611,"nagB"
703944,705890,"nagE"
706093,707757,"glnS"
708334,709740,"chiP"
709790,710116,"chiQ"
710200,710646,"fur"
710639,710725,"uof"
710935,711465,"fldA"
711605,711898,"ybfE"
712038,712802,"ybfF"
712987,713532,"seqA"
713558,715198,"pgm"
715412,715906,"ybfP"
715947,716597,"ybfG"
716721,716870,"ybfI"
716946,718265,"potE"
718262,720460,"speF"
720583,720840,"ybfK"
721056,721733,"kdpE"
721730,724414,"kdpD"
724407,724979,"kdpC"
724988,727036,"kdpB"
727059,728732,"kdpA"
728732,728821,"kdpF"
729134,729340,"ybfA"
729583,733776,"rhsC"
733776,734102,"ybfB"
734133,735653,"rhsO"
735650,736219,"ybfC"
736445,736684,"ybfQ"
736825,737961,"ybfL"
738092,738853,"ybfD"
739001,739510,"ybgA"
739507,740925,"phr"
741075,742556,"dtpD"
742827,743570,"ybgI"
743593,744249,"ybgJ"
744243,745175,"ybgK"
745165,745899,"ybgL"
745935,746726,"nei"
746723,747769,"abrB"
747921,748982,"ybgO"
748979,749707,"ybgP"
749722,752169,"ybgQ"
752229,752795,"ybgD"
753185,754468,"gltA"
755177,755566,"sdhC"
755560,755907,"sdhD"
755907,757673,"sdhA"
757689,758405,"sdhB"
758706,761507,"sucA"
761522,762739,"sucB"
763014,764180,"sucC"
764180,765049,"sucD"
765153,765875,"mngR"
765984,767960,"mngA"
767978,770611,"mngB"
771458,773026,"cydA"
773042,774181,"cydB"
774196,774309,"cydX"
774309,774602,"ybgE"
774752,775156,"ybgC"
775153,775845,"tolQ"
775849,776277,"tolR"
776342,777607,"tolA"
777740,779032,"tolB"
779067,779588,"pal"
779598,780389,"ybgF"
780554,780629,"lysT"
780765,780840,"valT"
780843,780918,"lysW"
781068,781143,"valZ"
781147,781222,"lysY"
781369,781444,"lysZ"
781577,781652,"lysQ"
782085,783128,"nadA"
783166,783885,"pnuC"
783882,784823,"zitB"
784937,785317,"ybgS"
785633,786685,"aroG"
786843,787595,"gpmA"
787797,788837,"galM"
788831,789979,"galK"
789983,791029,"galT"
791039,792055,"galE"
792316,793788,"modF"
793856,794644,"modE"
794773,794922,"acrZ"
795089,795862,"modA"
795862,796551,"modB"
796554,797612,"modC"
797613,798431,"ybhA"
798586,799581,"pgl"
799622,800575,"ybhD"
800759,801811,"ybhH"
801887,803320,"ybhI"
803503,805764,"ybhJ"
805998,807281,"ybhC"
807433,807909,"ybhB"
807968,809257,"bioA"
809344,810384,"bioB"
810381,811535,"bioF"
811522,812277,"bioC"
812270,812947,"bioD"
813526,815547,"uvrB"
815739,816647,"ybhK"
817044,818033,"moaA"
818055,818567,"moaB"
818570,819055,"moaC"
819048,819293,"moaD"
819295,819747,"moaE"
819884,820588,"ybhL"
820793,821506,"ybhM"
821542,822498,"ybhN"
822498,823739,"clsB"
823736,824497,"ybhP"
824630,825040,"ybhQ"
825002,826108,"ybhR"
826119,827252,"ybhS"
827245,828981,"ybhF"
828974,829972,"ybhG"
829972,830643,"ybiH"
830872,832236,"rhlE"
832468,832950,"ybiA"
833070,835220,"dinG"
835248,836210,"ybiB"
836351,837436,"ybiC"
837665,837925,"ybiJ"
838190,838456,"ybiI"
838530,839207,"ybiX"
839249,841531,"fiu"
841796,842056,"mcbA"
842332,843258,"rlmF"
843255,845480,"ybiO"
845741,846463,"glnQ"
846460,847119,"glnP"
847258,848004,"glnH"
848408,848911,"dps"
849210,850097,"rhtA"
850450,850965,"ompX"
851014,852597,"opgE"
852869,852997,"mntS"
853183,853650,"mntR"
853647,854765,"ybiR"
854824,855744,"ldtB"
855963,857555,"ybiT"
857796,859061,"ybiU"
859213,860028,"ybiV"
860174,862606,"ybiW"
862612,863511,"ybiY"
863642,864304,"fsaA"
864380,865129,"moeB"
865129,866364,"moeA"
866568,867533,"iaaA"
867520,869391,"gsiA"
869411,870949,"gsiB"
870967,871887,"gsiC"
871890,872801,"gsiD"
872979,875327,"yliE"
875335,876663,"yliF"
876710,878035,"rimO"
878248,878631,"bssR"
878742,879857,"yliI"
879854,880480,"gstB"
880727,881929,"dacC"
881976,882734,"deoR"
882792,883388,"ybjG"
883673,884905,"mdfA"
884946,885230,"ybjH"
885316,886131,"ybjI"
886131,887339,"ybjJ"
887423,887959,"rcdA"
887976,888054,"rybB"
888134,889819,"ybjL"
890089,890466,"ybjM"
890496,890753,"grxA"
890913,891200,"ybjC"
891184,891906,"nfsA"
891967,892869,"rimK"
892957,893433,"ybjN"
893784,894896,"potF"
894991,896124,"potG"
896134,897087,"potH"
897084,897929,"potI"
897989,898477,"ybjO"
898518,899645,"rlmC"
899844,900575,"artJ"
900866,901534,"artM"
901534,902250,"artQ"
902257,902988,"artI"
903006,903734,"artP"
903952,904467,"ybjP"
904593,904916,"ybjQ"
904913,905743,"amiD"
905740,906753,"ybjS"
906852,908282,"ybjT"
908293,909294,"ltaE"
909331,911049,"poxB"
911182,912150,"hcr"
912162,913814,"hcp"
913958,914857,"ybjE"
915352,916047,"aqpZ"
916473,918131,"ybjD"
918128,919120,"ybjX"
919235,920350,"macA"
920347,922293,"macB"
922366,922590,"cspD"
922913,923233,"clpS"
923264,925540,"clpA"
925884,925971,"serW"
926225,926443,"infA"
926728,927432,"aat"
927474,929195,"cydC"
929196,930962,"cydD"
931085,932050,"trxB"
932595,933089,"lrp"
933224,937213,"ftsK"
937372,937983,"lolA"
937994,939337,"rarA"
939428,940720,"serS"
940959,943403,"dmsA"
943414,944031,"dmsB"
944033,944896,"dmsC"
944931,945557,"ycaC"
945871,947019,"ycaD"
947229,948659,"ycaM"
948660,949568,"ycaN"
949668,950258,"ycaK"
950340,951080,"pflA"
951272,953554,"pflB"
953609,954466,"focA"
954872,956632,"ycaO"
956762,957454,"ycaP"
957653,958741,"serC"
958812,960095,"aroA"
960264,961028,"ycaL"
961201,961884,"cmk"
961995,963668,"rpsA"
963828,964112,"ihfB"
964320,966584,"ycaI"
966621,968369,"msbA"
968366,969352,"lpxK"
969389,970621,"ycaQ"
970673,970855,"ycaR"
970852,971598,"kdsB"
971752,972645,"ycbJ"
972622,973401,"elyC"
973537,974322,"smtA"
974319,975641,"mukF"
975622,976326,"mukE"
976326,980786,"mukB"
981047,982894,"ldtD"
983075,983623,"ycbK"
983650,984297,"ycbL"
984519,985709,"aspC"
985894,986982,"ompF"
987585,988985,"asnS"
989154,990356,"pncB"
990622,993234,"pepN"
993277,994044,"ssuB"
994041,994832,"ssuC"
994843,995988,"ssuD"
995985,996944,"ssuA"
996937,997512,"ssuE"
997868,998407,"elfA"
998490,999191,"elfD"
999216,1001816,"elfC"
1001807,1002877,"elfG"
1002889,1003431,"ycbU"
1003439,1003954,"ycbV"
1003947,1004657,"ycbF"
1004768,1005778,"pyrD"
1005952,1006494,"zapC"
1006491,1007600,"ycbX"
1007844,1009952,"rlmL"
1009964,1011871,"uup"
1012001,1013254,"pqiA"
1013259,1014899,"pqiB"
1014896,1015459,"pqiC"
1015715,1015882,"rmf"
1015952,1016470,"fabA"
1016539,1018299,"ycbZ"
1018485,1018937,"matP"
1019013,1020053,"ompA"
1020410,1020919,"sulA"
1021138,1021767,"sxy"
1021730,1023883,"yccS"
1023902,1024348,"yccF"
1024471,1026525,"helD"
1026557,1027015,"mgsA"
1027111,1027773,"yccT"
1027946,1028359,"yccU"
1028404,1028721,"hspQ"
1028779,1029969,"rlmI"
1030064,1030342,"yccX"
1030339,1030668,"tusE"
1030759,1031418,"yccA"
1031625,1031712,"serT"
1032139,1033257,"hyaA"
1033254,1035047,"hyaB"
1035066,1035773,"hyaC"
1035770,1036357,"hyaD"
1036354,1036752,"hyaE"
1036749,1037606,"hyaF"
1037740,1039284,"cbdA"
1039296,1040432,"cbdB"
1040445,1040537,"cbdX"
1040617,1041915,"appA"
1042030,1044210,"etk"
1044230,1044676,"etp"
1044664,1045803,"gfcE"
1045849,1047945,"gfcD"
1047945,1048691,"gfcC"
1048688,1049332,"gfcB"
1049439,1049744,"gfcA"
1050963,1051175,"cspH"
1051461,1051673,"cspG"
1051847,1052077,"ymcE"
1052067,1052240,"gnsA"
1052289,1053362,"yccM"
1053434,1056178,"torS"
1056261,1057289,"torT"
1057262,1057954,"torR"
1058084,1059256,"torC"
1059256,1061802,"torA"
1061799,1062398,"torD"
1062550,1062855,"cbpM"
1062855,1063775,"cbpA"
1064036,1065292,"yccE"
1065585,1066826,"agp"
1066864,1067091,"yccJ"
1067112,1067708,"wrbA"
1068081,1068254,"ymdF"
1068511,1069839,"rutG"
1069860,1070354,"rutF"
1070365,1070955,"rutE"
1070965,1071765,"rutD"
1071773,1072159,"rutC"
1072171,1072863,"rutB"
1072863,1074011,"rutA"
1074242,1074880,"rutR"
1074920,1078882,"putA"
1079305,1080813,"putP"
1081356,1082185,"efeU"
1082243,1083370,"efeO"
1083376,1084647,"efeB"
1084992,1086056,"phoH"
1086106,1086519,"pgaD"
1086521,1087846,"pgaC"
1087839,1089857,"pgaB"
1089866,1092289,"pgaA"
1092876,1094234,"ycdT"
1095505,1095846,"ymdE"
1095843,1096829,"ycdU"
1097565,1097652,"serX"
1097886,1098824,"ghrA"
1098879,1099616,"ycdX"
1099640,1100194,"ycdY"
1100296,1100787,"ycdZ"
1100851,1101684,"csgG"
1101711,1102127,"csgF"
1102152,1102541,"csgE"
1102546,1103196,"csgD"
1103951,1104406,"csgB"
1104447,1104902,"csgA"
1104961,1105293,"csgC"
1105414,1105725,"ymdA"
1105820,1106353,"ymdB"
1106355,1107776,"clsC"
1107784,1108941,"opgC"
1109335,1110870,"opgG"
1110863,1113406,"opgH"
1113579,1113806,"yceK"
1113807,1114181,"msyB"
1114264,1115490,"mdtG"
1115662,1116582,"lpxL"
1116807,1117859,"yceA"
1117901,1118476,"yceI"
1118480,1119046,"yceJ"
1119307,1119447,"yceO"
1119468,1120586,"solA"
1120701,1120955,"bssS"
1121242,1121487,"dinI"
1121561,1122607,"pyrC"
1122713,1123273,"yceB"
1123407,1124054,"grxB"
1124118,1125326,"mdtH"
1125562,1126146,"rimJ"
1126157,1126804,"yceH"
1126806,1127729,"yceM"
1127839,1129374,"murJ"
1129414,1129830,"flgN"
1129835,1130128,"flgM"
1130204,1130863,"flgA"
1131018,1131434,"flgB"
1131438,1131842,"flgC"
1131854,1132549,"flgD"
1132574,1133782,"flgE"
1133802,1134557,"flgF"
1134729,1135511,"flgG"
1135564,1136262,"flgH"
1136274,1137371,"flgI"
1137371,1138312,"flgJ"
1138378,1140021,"flgK"
1140033,1140986,"flgL"
1141182,1144367,"rne"
1144502,1144822,"yceQ"
1144940,1145899,"rluC"
1146011,1146595,"yceF"
1146589,1146757,"psrD"
1146794,1147315,"yceD"
1147367,1147540,"rpmF"
1147621,1148691,"plsX"
1148759,1149712,"fabH"
1149728,1150657,"fabD"
1150670,1151404,"fabG"
1151615,1151851,"acpP"
1151939,1153180,"fabF"
1153300,1154109,"pabC"
1154112,1155134,"yceG"
1155124,1155765,"tmk"
1155762,1156766,"holB"
1156777,1157574,"ycfH"
1157869,1159302,"ptsG"
1159362,1161551,"fhuE"
1161885,1162244,"hinT"
1162247,1162624,"ycfL"
1162638,1163279,"lpoB"
1163260,1164084,"thiK"
1164095,1165120,"nagZ"
1165143,1165685,"ycfP"
1166085,1167389,"ndh"
1167599,1168138,"ycfJ"
